# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.7945001221e+02,1.7753077745e+00,2.9300820827e-01,2.3076661682e+02,6.9613952637e+00,3.9344263077e-01,1.2605042756e-01
5.7947003174e+02,1.7024391890e+00,2.1246930957e-01,2.3077662659e+02,7.2254109383e+00,4.0163934231e-01,1.2605042756e-01
5.7949005127e+02,1.6307212114e+00,1.2847873569e-01,2.3078665161e+02,7.7445940971e+00,4.0983605385e-01,1.2605042756e-01
5.7951000977e+02,1.5597702265e+00,3.9885934442e-02,2.3079763794e+02,9.5523204803e+00,4.1803279519e-01,1.2605042756e-01
5.7953002930e+02,1.4884357452e+00,6.2367796898e+00,2.3080830383e+02,8.1691780090e+00,4.2622950673e-01,1.2605042756e-01
5.7955004883e+02,1.4174847603e+00,6.1539397240e+00,2.3081800842e+02,7.1330256462e+00,4.2622950673e-01,1.2605042756e-01
5.7957000732e+02,1.3449997902e+00,6.0710997581e+00,2.3082833862e+02,7.1840481758e+00,4.3442621827e-01,1.2605042756e-01
5.7959002686e+02,1.2725148201e+00,5.9844245911e+00,2.3083769226e+02,7.7912917137e+00,4.3442621827e-01,1.2605042756e-01
5.7961004639e+02,1.2030978203e+00,5.8946814537e+00,2.3084739685e+02,7.9760780334e+00,4.3442621827e-01,1.2605042756e-01
5.7963000488e+02,1.1348315477e+00,5.8091564178e+00,2.3085708618e+02,7.0018606186e+00,4.3442621827e-01,1.2605042756e-01
5.7965002441e+02,1.0657982826e+00,5.7259330750e+00,2.3086677551e+02,7.0837273598e+00,4.4262295961e-01,1.1764705926e-01
5.7967004395e+02,9.9446374178e-01,5.6407918930e+00,2.3087680054e+02,6.9529776573e+00,4.3442621827e-01,1.2605042756e-01
5.7969000244e+02,9.2312932014e-01,5.5510487556e+00,2.3088681030e+02,7.8525447845e+00,4.4262295961e-01,1.2605042756e-01
5.7971002197e+02,8.5371249914e-01,5.4628391266e+00,2.3089781189e+02,8.3028879166e+00,4.4262295961e-01,1.1764705926e-01
5.7973004150e+02,7.8467905521e-01,5.3776979446e+00,2.3090751648e+02,7.2578940392e+00,4.4262295961e-01,1.2605042756e-01
5.7975000000e+02,7.1602928638e-01,5.2933239937e+00,2.3091722107e+02,6.9259333611e+00,4.4262295961e-01,1.2605042756e-01
5.7977001953e+02,6.4699590206e-01,5.2043476105e+00,2.3092721558e+02,7.2092227936e+00,4.3442621827e-01,1.2605042756e-01
5.7979003906e+02,5.7527792454e-01,5.1123032570e+00,2.3093852234e+02,8.1522006989e+00,4.3442621827e-01,1.2605042756e-01
5.7983001709e+02,4.3184196949e-01,4.9389529228e+00,2.3095855713e+02,7.1695108414e+00,4.3442621827e-01,1.2605042756e-01
5.7985003662e+02,3.6204156280e-01,4.8518939018e+00,2.3096923828e+02,8.0758342743e+00,4.4262295961e-01,1.2605042756e-01
5.7987005615e+02,2.9224118590e-01,4.7594661713e+00,2.3097923279e+02,7.9758219719e+00,4.3442621827e-01,1.2605042756e-01
5.7989001465e+02,2.2090671957e-01,4.6681885719e+00,2.3099024963e+02,8.1684274673e+00,4.4262295961e-01,1.2605042756e-01
5.7991003418e+02,1.4803817868e-01,4.5811300278e+00,2.3100057983e+02,8.1682548523e+00,4.3442621827e-01,1.2605042756e-01
5.7993005371e+02,7.7087238431e-02,4.4948382378e+00,2.3101126099e+02,7.7319064140e+00,4.3442621827e-01,1.2605042756e-01
5.7995001221e+02,5.3692604415e-03,4.4047112465e+00,2.3102125549e+02,8.2351732254e+00,4.3442621827e-01,1.2605042756e-01
5.7997003174e+02,6.2187542915e+00,4.3122835159e+00,2.3103096008e+02,7.8411540985e+00,4.3442621827e-01,1.1764705926e-01
5.8001000977e+02,6.0768523216e+00,4.1385493279e+00,2.3105197144e+02,7.1666102409e+00,4.3442621827e-01,1.1764705926e-01
5.8003002930e+02,6.0043678284e+00,4.0507235527e+00,2.3106196594e+02,7.7322964668e+00,4.3442621827e-01,1.1764705926e-01
5.8005004883e+02,5.9353342056e+00,3.9586791992e+00,2.3107167053e+02,6.2682466507e+00,4.2622950673e-01,1.2605042756e-01
5.8007000732e+02,5.8674511909e+00,3.8693194389e+00,2.3108203125e+02,8.0784463882e+00,4.2622950673e-01,1.2605042756e-01
5.8009002686e+02,5.7995686531e+00,3.7830278873e+00,2.3109172058e+02,6.9251174927e+00,4.2622950673e-01,1.2605042756e-01
5.8011004639e+02,5.7293848991e+00,3.6971197128e+00,2.3110173035e+02,7.1163778305e+00,4.1803279519e-01,1.2605042756e-01
5.8013000488e+02,5.6592006683e+00,3.6050751209e+00,2.3111111450e+02,7.7508039474e+00,4.1803279519e-01,1.2605042756e-01
5.8015002441e+02,5.5894002914e+00,3.5134141445e+00,2.3112046814e+02,6.9850678444e+00,4.0163934231e-01,1.2605042756e-01
5.8019000244e+02,5.4524841309e+00,3.3412144184e+00,2.3113986206e+02,7.0345115662e+00,4.0163934231e-01,1.2605042756e-01
5.8021002197e+02,5.3846015930e+00,3.2530047894e+00,2.3115054321e+02,8.1037530899e+00,4.0163934231e-01,1.2605042756e-01
5.8023004150e+02,5.3140339851e+00,3.1601934433e+00,2.3116152954e+02,8.0278606415e+00,3.8524588943e-01,1.2605042756e-01
5.8025000000e+02,5.2419323921e+00,3.0716006756e+00,2.3117283630e+02,8.5108556747e+00,3.9344263077e-01,1.2605042756e-01
5.8027001953e+02,5.1705980301e+00,2.9868431091e+00,2.3118316650e+02,7.7324609756e+00,4.0163934231e-01,1.2605042756e-01
5.8029003906e+02,5.1019477844e+00,2.9017019272e+00,2.3119316101e+02,7.2215819359e+00,3.9344263077e-01,1.2605042756e-01
